127.0.0.1 - - [27/Feb/2025:19:53:54 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:53:58 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:53:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:54:15 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:54:16 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:54:17 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:54:17 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:54:18 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:54:18 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:54:19 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:54:19 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:54:19 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:54:19 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:54:19 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:55:14 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:55:17 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:55:20 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:55:20 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:55:20 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:55:21 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:55:21 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:55:21 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:55:21 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:55:21 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 249
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:55:22 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [27/Feb/2025:19:55:22 +0530] "GET /dgtdpst/NewFile.jsp HTTP/1.1" 200 250
