127.0.0.1 - - [11/Mar/2025:09:22:15 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:22:17 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:22:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:22:49 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:26:29 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 200 2234
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:28:34 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:28:34 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:28:57 +0530] "GET /Kalyani1/Reg.html HTTP/1.1" 200 2709
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:03 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 200 2273
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:03 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:04 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:04 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:04 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:05 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:05 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:05 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:05 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:05 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:06 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:06 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:06 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:06 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:06 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:18 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:19 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2025:09:32:19 +0530] "GET /Kalyani1/Home.html HTTP/1.1" 304 -
